model,epoch,train_loss,val_loss,lr
transformer,6,0.000071,0.000286,7.94e-04
transformer,7,0.000075,0.000280,7.27e-04
transformer,8,0.000077,0.000293,6.55e-04
transformer,9,0.000070,0.000280,5.79e-04
transformer,10,0.000073,0.000285,5.01e-04
transformer,11,0.000077,0.000288,4.22e-04
transformer,12,0.000073,0.000283,3.46e-04
transformer,13,0.000070,0.000290,2.74e-04
transformer,14,0.000072,0.000284,2.07e-04
transformer,15,0.000073,0.000293,1.47e-04
transformer,16,0.000068,0.000291,9.64e-05
ensemble,1,0.008147,0.000272,9.94e-04
ensemble,2,0.002110,0.000452,9.76e-04
ensemble,3,0.000931,0.000287,9.46e-04
ensemble,4,0.000666,0.001655,9.05e-04
ensemble,5,0.000402,0.000398,8.54e-04
ensemble,6,0.000427,0.000407,7.94e-04
ensemble,7,0.000313,0.000329,7.27e-04
ensemble,8,0.000276,0.000299,6.55e-04
ensemble,9,0.000289,0.000391,5.79e-04
ensemble,10,0.000272,0.000279,5.01e-04
ensemble,11,0.000261,0.000338,4.22e-04
ensemble,12,0.000239,0.000311,3.46e-04
ensemble,13,0.000263,0.000320,2.74e-04
